City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Olinda,BR,76.73,scattered clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
2,Payakumbuh,ID,68.54,overcast clouds,-0.2202,100.6308,Dalimo Homestay
6,Bambous Virieux,MU,70.21,light rain,-20.3428,57.7575,Casa Tia Villa
7,Albany,US,65.64,light rain,42.6001,-73.9662,
8,Meulaboh,ID,75.27,moderate rain,4.1363,96.1285,Kost Pria
10,Puerto Ayora,EC,75.16,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
12,Nusaybin,TR,82.51,clear sky,37.0778,41.2178,Aydinlar Hotel
13,Butaritari,KI,82.49,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
14,Oistins,BB,82.49,broken clouds,13.0667,-59.5333,Butterfly Beach Hotel
20,Victoria,HK,85.32,scattered clouds,22.2855,114.1577,Mini Central
23,Perafita,PT,71.22,broken clouds,41.1825,-8.2545,Penafiel Park Hotel & Spa
24,Hilo,US,82.27,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
25,Inhambane,MZ,73.36,few clouds,-23.865,35.3833,Oceano
28,Salalah,OM,78.89,scattered clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
30,Morropon,PE,81.82,scattered clouds,-5.1822,-79.9689,panaderia jeffeson
32,Vaini,TO,77.16,broken clouds,-21.2,-175.2,Keleti Beach Resort
33,Puerto Baquerizo Moreno,EC,70.79,broken clouds,-0.9,-89.6,Hotel los Algarrobos
34,Half Moon Bay,US,78.82,broken clouds,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
35,Touros,BR,76.66,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
37,Nokaneng,BW,66.02,scattered clouds,-19.6667,22.2667,
40,Sturgeon Bay,US,78.78,clear sky,44.8342,-87.377,AmericInn by Wyndham Sturgeon Bay
43,Basoko,CD,75.79,broken clouds,1.2391,23.616,Jackyna Hotel
47,Tacuati,PY,70.5,overcast clouds,-23.45,-56.5833,
49,Luebo,CD,73.31,light rain,-5.35,21.4167,
50,Avarua,CK,77.05,light rain,-21.2078,-159.775,Paradise Inn
51,Ugoofaaru,MV,81.27,overcast clouds,5.6667,73.0,Ungoofaaru Inn
58,Kudahuvadhoo,MV,81.75,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
67,Bafra,TR,68.83,scattered clouds,41.5678,35.9069,Sevgi Otel
68,Vao,NC,73.33,few clouds,-22.6667,167.4833,Hotel Kou-Bugny
69,Jamestown,US,74.01,overcast clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
70,Rikitea,PF,72.73,few clouds,-23.1203,-134.9692,People ThankYou
71,Rincon,US,84.16,broken clouds,32.296,-81.2354,Days Inn Rincon
73,Khurda,IN,76.91,overcast clouds,20.1833,85.6167,Bagbaan Villa
76,Barra Da Estiva,BR,67.06,scattered clouds,-13.6261,-41.3269,Pousada Central
77,Georgetown,MY,80.53,few clouds,5.4112,100.3354,Cititel Penang
82,Lorengau,PG,82.9,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
83,Praia Da Vitoria,PT,75.45,broken clouds,38.7333,-27.0667,Hotel Branco I
87,Wanning,CN,77.85,overcast clouds,18.8003,110.3967,Paradise Hotel
88,Naze,JP,77.92,scattered clouds,28.3667,129.4833,Shishime Hotel
92,Bathsheba,BB,83.01,broken clouds,13.2167,-59.5167,Atlantis Hotel
94,Buchanan,LR,76.03,overcast clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
95,Itarema,BR,78.15,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
96,Mahebourg,MU,70.25,few clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
97,Palora,EC,86.11,scattered clouds,-1.7,-77.9333,Rancho grande
102,Bethel,US,75.54,moderate rain,41.3712,-73.414,Courtyard by Marriott Danbury
103,Kapaa,US,85.98,few clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
108,La Asuncion,VE,81.97,overcast clouds,11.0333,-63.8628,Colinas de Matasiete
111,Holland,US,79.48,clear sky,42.7875,-86.1089,Hampton Inn Holland
117,Ribeira Grande,PT,74.41,scattered clouds,38.5167,-28.7,Quinta da Meia Eira
118,Oussouye,SN,77.18,light rain,12.485,-16.5469,Auberge du Routard
119,Acarau,BR,78.26,overcast clouds,-2.8856,-40.12,castelo pizzaria
122,Yaypan,UZ,71.42,clear sky,40.3758,70.8156,MAFIYA MUSLIM BARDOR
